Articolo;Descrizione lunga;Segn.;Costo Unitario;Proc. Speciale;Produttore;Produttore Modello;Produttore Codice
D. VF030L06;CODICE ERRATO;ANN;,00;;;;
D. VF030L09;CODICE ERRATO;ANN;,00;;;;
D..;MACCHINA BASE GENERICA;;,00;;;;
D.093000174;RECIPIENTE TM10 V.FRONTALE;;,00;;;;
D.165741040;FASCETTA STRINGITUBO AIS304 MM.D.40.60;;,00;;;;
D.250000001;TERMOREGOLATORE 24VAC MODELLO GEFRAN 1200-RR00-00-0-0;;,00;;;;
D.250000002;SENSORE DI PRESSIONE A DISPLAY   -1/+1 bar codice AP-34 P;;,00;;;;
D.250000003;KIT DI MONTAGGIO A PANNELLO codice OP31357;;,00;;;;
D.250000004;MICRO ROSSI ATTACCO TONDO FORATO MELTER codice FR2296-XA;;,00;;;;
D.250000005;MICRO GIALLI ATTACCO A BAIONETTA  codice 3SE5 232-0RV40;;,00;;;;
D.250000006;BAIONETTA PER MICRO 3SE5 232-0RV40 codice 3SE5 000-0AV05;;,00;;;;
D.250000007;CAVO ETHERNET 0,5 METRI codice 1251590005;;,00;;;;
D.250000008;CAVO ETHERNET 1 METRO codice 1251590010;;,00;;;;
D.250000009;CAVO ETHERNET 2 METRI codice 1251590020;;,00;;;;
D.250000010;CAVO ETHERNET 5METRI codice 1251590050;;,00;;;;
D.250000011;CAVO ETHERNET 10 METRI codice 1251590100;;,00;;;;
D.250000012;CAVO ETHERNET 20 METRI codice 1251590200;;,00;;;;
D.250000013;PRESA RJ ETHERNET codice LCP D06;;,00;;;;
D.250000014;DISPLAY CELLE DOSAGGI 24VAC USC.RS232 codice VSVIAA1XC001;;,00;;;;
D.250000015;DISPLAY CELLE BASE 24VAC USCITE  RS232 codice VSAIAN1MC001;;,00;;;;
D.250000016;SCHEDINA DI GIUNZIONE CELLE codice XECJBOX2;;,00;;;;
D.250000017;ANALIZZATORE  M400G/2XH codice 30025516;;,00;;;;
D.250000018;CAVO AK9/ST/10M cod. 59902230;;,00;;;;
D.250000019;SENSORE INPRO6850I G/12/120 codice 52206431;;,00;;;;
D.2500000194;LAMPADA ESL55LED-EX 24V ATEX LUMIGLAS;;,00;;;ESL55EX LED;ESL55EX LED
D.250000020;MEMBRANA PER INPRO6850I codice 52206453;;,00;;;;
D.250000021;KIT MONTAGGIO A PARETE codice 52500213;;,00;;;;
D.250000022;KIT ELETTROLITI ( 3X25ML )6050/6800/6850 codice 30298424;;,00;;;;
D.250000023;PANNELLO COMANDI  CON MOVIMENTAZIONE TURBO-MEK codice PBD001;;,00;;;;
D.250000024;PANNELLO COMANDI  SENZA  MOVIMENTAZ.TURBO-MEK codice PBD002;;,00;;;;
D.250000025;"PC 24VDC 15"" DCI SOFTWARE DCI codice PPC-3151";;,00;;;;
D.250000026;"PC 24VDC 15"" DCI  SOFTWARE DCI /SCRIBA codice PPC-3150";;,00;;;;
D.250000027;"PC 24VDC 12"" DCI  SOFTWARE DCI /SCRIBA codice PPC-3120";;,00;;;;
D.250000028;SWITCH DI RETE codice ISW-801T;;,00;;;;
D.250000029;ANTENNA A BASE MAGNETICA + PROLUNGA DI  2,5m codice ANTSMS1E;;,00;;;;
D.250000030;APPARECCHIO TELEASSISTENZA VIA SMS codice SMS1E;;,00;;;;
D.250000031;CAVO FG7 5X10;;,00;;;;
D.250000032;CAVO FG7 5X16;;,00;;;;
D.250000033;CAVO FG7 5X6;;,00;;;;
D.250000034;CAVO FROR 2x1,5;;,00;;;;
D.250000035;CAVO 3G2,5;;,00;;;;
D.250000036;CAVO FROR 4G2,5;;,00;;;;
D.250000037;CAVO FROR 4G4;;,00;;;;
D.250000038;CAVO FROR 4G6;;,00;;;;
D.250000039;CAVO FROR 5x1,5;;,00;;;;
D.250000040;CAVO FROR 7x2,5;;,00;;;;
D.250000041;CAVO SCHERMATO 10x0,5;;,00;;;;
D.250000042;CAVO SCHERMATO 2X0.5;;,00;;;;
D.250000043;CAVO SCHERMATO 3X1,5;;,00;;;;
D.250000044;CAVO SCHERMATO 4G10;;,00;;;;
D.250000045;CAVO SCHERMATO 4G16;;,00;;;;
D.250000046;CAVO SCHERMATO 4G4;;,00;;;;
D.250000047;CAVO SCHERMATO 4G6;;,00;;;;
D.250000048;CAVO SCHERMATO 6X0.5;;,00;;;;
D.250000049;CAVO PVC FLEX BLU 16MM;;,00;;;;
D.250000050;CAVO PVC FLEX GIALLO-VERDE 25MM;;,00;;;;
D.250000051;CAVO PVC FLEX GIALLO-VERDE 35MM;;,00;;;;
D.250000052;CAVO PVC FLEX GIALLO-VERDE 70MM;;,00;;;;
D.250000053;GUAINA METALLICA DIAM. 7 codice SV07G;;,00;;;;
D.250000054;TUBO VETRO ELASTICO SILICONE DIAM. 6 codice VEM060;;,00;;;;
D.250000055;CALZA TRECCIATA GRIGIA DIAMETRO 15 codice EL15501015;;,00;;;;
D.250000056;CALZA TRECCIATA GRIGIA DIAMETRO 15 codice EL15501020;;,00;;;;
D.250000057;"RIDUZIONE MASCHIO 1"" GAS - FEMMINA PG 29 codice 86731";;,00;;;;
D.250000058;GUIDA DIN ALTA forata codice WD 0236500000;;,00;;;;
D.250000059;GUIDA DIN BASSA forata codice WD 0514500000;;,00;;;;
D.250000060;INTERRUTTORE DIFFERENZ. 25A 300mA 2 POLI codice 5SM3 612-0;;,00;;;;
D.250000061;INT.DIFF.3 POLI+NEUTRO+TEST 25Amax - ID=300mA 5SM3 642-6;;,00;;;;
D.250000062;INT.DIFF.3 POLI+NEUTRO+TEST 40Amax - ID=300mA 5SV3 644-6;;,00;;;;
D.250000063;INT.DIFF.3 POLI+NEUTRO+TEST 63Amax - ID=300mA 5SM3 646-6;;,00;;;;
D.250000064;INT.DIFF.3 POLI+NEUTRO+TEST 125Amax - ID=300mA 5SM3 645-6;;,00;;;;
D.250000065;TRASF. MONOF. V1=�15/0/230/400V - V2=0/12/24V-300VA V3=0/18V;;,00;;;;
D.250000066;TRASF. MONOF. V1=�10V/0/230/400V - V2=0/24V  100VA - V3=0/22;;,00;;;;
D.250000067;ALIMENT. STABILIZZ.Vin=230VAC Vout=24VDC 5A codice XCSF-120C;;,00;;;;
D.250000068;CENTRALINA DI SICUREZZA 24VDC 1-2 CANALI USCITE = 3 NA SICUR;;,00;;;;
D.250000069;ESPANSIONE PER CENTRALINA DI SICUREZZA 24VDC USCITE = 4 NA S;;,00;;;;
D.250000070;INDICATORE LUMINOSO BIANCO codice 3SU1001-6AA60-0AA0;;,00;;;;
D.250000071;INDICATORE LUMINOSO ROSSO codice 3SU1001-6AA20-0AA0;;,00;;;;
D.250000072;INDICATORE LUMINOSO BLU codice 3SU1001-6AA50-0AA0;;,00;;;;
D.250000073;INDICATORE LUMINOSO VERDE codice 3SU1001-6AA40-0AA0;;,00;;;;
D.250000074;TESTA PULSANTE NERO codice 3SU1030-0AB10-0AA0;;,00;;;;
D.250000075;TESTA PULSANTE SPORGENTE ROSSO codice 3SU1030-0BB20-0AA0;;,00;;;;
D.250000076;TESTA PULSANTE LUMINOSO VERDE codice 3SU1031-0AB40-0AA0;;,00;;;;
D.250000077;TESTA PULSANTE LUMINOSO ROSSO codice 3SU1031-0AB20-0AA0;;,00;;;;
D.250000078;TESTA PULSANTE VERDE codice 3SU1030-0AB40-0AA0;;,00;;;;
D.250000079;PULSANTE PIATTO BLU codice 3SU1030-0AB50-0AA0;;,00;;;;
D.250000080;SELETT.NERO LEVA BIANCA 3 POS.STABILI 3SU1032-2BL60-0AA0;;,00;;;;
D.250000081;SELETT.NERO LEVA BIANCA 2 POS.STABILI 3SU1032-2CF60-0AA0;;,00;;;;
D.250000082;SELETT.NERO LEVA VERDE 2 POS.STABILI 3SU1032-2BF40-0AA0;;,00;;;;
D.250000083;SELETT.NERO LEVA ROSSA 2 POS.STABILI 3SU1032-2BF20-0AA0;;,00;;;;
D.250000084;SELETT.NERO LEVA BIANCA 3 POS.INSTABILI 3SU1032-2BM60-0AA0;;,00;;;;
D.250000085;SELETT.NERO LEVA ROSSA 3 POS.INSTABILI 3SU1032-2BM20-0AA0;;,00;;;;
D.250000086;SELETT.NERO LEVA BIANCA 2 POS.INSTABILI 3SU1032-2BC60-0AA0;;,00;;;;
D.250000087;SELETT.NERO LEVA ROSSA 2 POS.INSTABILI 3SU1032-2BC20-0AA0;;,00;;;;
D.250000088;MORSETTO EQUIPOTENZIALE 4 POLI 125A RPQ125-14 TEKNOMEGA;;,00;;;;
D.250000089;INTERR. AUTOM. UNIPOLARE 1A curva C 5SY6101-7 SIEMENS;;,00;;;;
D.250000090;INTERR. AUTOM. BIPOLARE    1A curva D 5SY6201-8 SIEMENS;;,00;;;;
D.250000091;INTERR. AUTOM. UNIPOLARE 2A curva D 5sy4102-8 SIEMENS;;,00;;;;
D.250000092;INTERR. AUTOM. UNIPOLARE 3A curva D 5SY6203-8 SIEMENS;;,00;;;;
D.250000093;TELER.3P 24VAC S00 BOB. 24VCA 4KW 9A A400V 1NA;;,00;;;;
D.250000094;TELER.3P 24VAC S00 BOB. 24VCA 5,5KW 12A A400V 1NA;;,00;;;;
D.250000095;TELER.3P 24VAC S00 BOB. 24VCA 7,5KW 16A A400V 1NA;;,00;;;;
D.250000096;TELER.3P 24VAC S00 BOB. 24VDC 4KW 9A A400V 1NA;;,00;;;;
D.250000097;TELER.3P 24VAC S00 BOB. 24VDC 5,5KW 12A A400V 1NA;;,00;;;;
D.250000098;TELER.3P 24VAC S00 BOB. 24VDC 7,5KW 16A A400V 1NA;;,00;;;;
D.250000099;TELER.3P.24VAC  11kW 230/400V  25A  S0;;,00;;;;
D.250000100;TELER.3P.24VAC  15kW 230/400V  32A  S0;;,00;;;;
D.250000101;TELER.3P.24VAC  18,5kW 230/400V  38A   S0;;,00;;;;
D.250000102;TELER.3P.24VDC  11kW 230/400V  25A   S0;;,00;;;;
D.250000103;TELER.3P.24VDC  15kW 230/400V  32A  S0;;,00;;;;
D.250000104;TRASF.MONOF.V1=�15/0/230/400V-V2=0/12V-30VA V3=0/230V 500VA;;,00;;;;
D.250000105;OROLOGIO DI PROGRAMMAZ. 220;;,00;;;;
D.250000106;SPORTELLO APRIBILE IP54;;,00;;;;
D.250000107;COPPIA SUPPORTO PER SPORTELLO;;,00;;;;
D.250000108;SEGNALATORE ACUSTICO  24VAC;;,00;;;;
D.250000109;TEMPORIZZATORE MULTIFUNZIONE 24-48AC/12-48DC;;,00;;;;
D.250000110;FLANGIA DI FISSAGGIO PER TEMPORIZZATORE H3CR;;,00;;;;
D.250000111;ZOCCOLO OCTAL DA PANNELLO ATTACCO DIN35;;,00;;;;
D.250000112;RELE' 1 CONTATTO IN SCAMBIO 24VDC 400VAC  2A  -  250VAC  6A;;,00;;;;
D.250000113;PHOENIX RELE'INTERF.PLC-RSC-24DC/21 1SC;;,00;;;;
D.250000114;TAPPO;;,00;;;;
D.250000115;SELETTORE 2 POSIZIONI STABILI NERO;;,00;;;;
D.250000116;PORTA ETICHETTE;;,00;;;;
D.250000117;STAMPANTE AD IMPATTO RS232  9/40VDC volt RTCK PCFH190-40S3-0;;,00;;;;
D.250000118;PANNELLO COMANDI MELTER 24VDC TECNOELETTRONICA;;,00;;;;
D.250000119;TERMOREGOLATORE 230VAC MODELLO GEFRAN 600;;,00;;;;
D.250000120;MODULO 4 INGRESSI E 4 USCITE ETHERNET  CODICE: MODU4I4O;;,00;;;;
D.250000121;SUPP. DI FISS. PULS. DIAM. 22 CODICE 3SU1500-0AA10-0AA0;;,00;;;;
D.250000122;SCATOLA STAGNA 150X110X140 GW44216 GEWISS;;,00;;;;
D.250000123;ALIMENTATORE Vin=90-264VAC Vout=24VDC 1,2A XCSF30C CABUR;;,00;;;;
D.250000124;RELE CONTR. SEQ. FASI 200-500Vac  2 CONTAT.  EMR4-F500-2 EAT;;,00;;;;
D.250000125;POTENZIOMETRO 2,5K  9CDB932K5 ESA;;,00;;;;
D.250000126;SONDA PT100 3 FILI 6X80 CODICE F050216 gefran;ANR;,00;;;;
D.250000127;CONT. MET.WEIDMULLER  70X70 CODICE 0342000000;;,00;;;;
D.250000128;CASSETTA EKOPENSILE CODICE EP0500400150001;;,00;;;;
D.250000129;STR. DI PESATURA modello  ATM04 CODICE VSOGATM04PN;;,00;;;;
D.250000130;CAVO 5G2,5 FG7;;,00;;;;
D.250000131;CUST. VOLANTE CHIUSA 10 POLI;;,00;;;;
D.250000132;CUST. FISSA CHIUSA 10 POLI;;,00;;;;
D.250000133;CONNETTORE INSERTO MASCHIO 10P + T;;,00;;;;
D.250000134;CONNETTORE INSERTO FEMMINA 10P + T;;,00;;;;
D.250000135;CUST. FISSA HDC;;,00;;;;
D.250000136;CUST. VOLANTE HDC;;,00;;;;
D.250000137;INSERTO CONN. MASCHIO 5P;;,00;;;;
D.250000138;INSERTO CONN. FEMMINA 5P;;,00;;;;
D.250000139;INSERTO CONN. MASCHIO 4P;;,00;;;;
D.250000140;INSERTO CONN. FEMMINA 4P;;,00;;;;
D.250000141;CUST. VOLANTE ANGOLATA;;,00;;;;
D.250000142;BLOCCO INTERR.CHIAVE PBD;;,00;;;;
D.250000143;MORSETTIERA PBD;;,00;;;;
D.250000144;SONDA PT100 3 FILI 6X60;ANR;,00;;;;
D.250000145;SONDA PT100 3 FILI 6X70;ANR;,00;;;;
D.250000146;SONDA PT100 3 FILI 6X90;ANR;,00;;;;
D.250000147;RIDUZ.DA M20X1,5 A PG11;;,00;;;;
D.250000148;RIDUZ.DA PG11 A PG9;;,00;;;;
D.250000149;PANNEL.COMANDI  DOPPIA MESC.;;,00;;;;
D.250000150;ALIMENTATORE MONO/BIFASE;;,00;;;;
D.250000151;SONDA PT100 3 FILI 6X20 CODICE F036294 GEFRAN;;,00;;;;
D.250000152;ALIMENTATORE MONO/BIFASE in=120..230/230..500Vac, 47..63Hz,;;,00;;;;
D.250000153;TEMPORIZZATORE 24VAC  10-15 MIN.H3YN-2 24 V AC OMRON.;;,00;;;;
D.250000154;TERMOSTATO IN CUSTODIA 0-200�C ATTACCO �;;,00;;;;
D.250000155;SONDA PT100 3 FILI 6X40;;,00;;;;
D.250000156;PANNELLO COMANDI  DOPPIA;;,00;;;;
D.250000157;SONDA PT100 3 FILI 6X100;;,00;;;;
D.250000158;TEMPORIZZATORE OMRON 100-240VAC H3CR-F8N;;,00;;;;
D.250000159;TERMOSTATO 0..200�C TIPO 603070/0002-5;;,00;;;;
D.250000160;OROLOGIO PROGRAMMATORE 2 CANALI 230VAC;;,00;;;;
D.250000161;PANNELLO COMANDI  DOPPIA MESC.;;,00;;;;
D.250000162;SENSORE AD ULTRASUONI BERO SONAR 20/30VDC  6..30 cm;;,00;;;;
D.250000163;*SOST.DA E7961AB00002 CAVO;ANN;,00;;;;
D.250000164;CONNETTORE ROTATIVO 18 POLI SLIP RING AC4598-18 MOOG;;,00;;;;
D.250000165;SENSORE INDUTTIVO PIATTO PNP TL-W5MB1 OMRON;;,00;;;;
D.250000166;CAVO DI POTENZA PER MOTORE S-1FL6 LUNGH. 3MT;ANN;,00;;;;
D.250000167;CAVO SEGNALE ENCODER PER S-1FL6 LUNGH. 3MT;ANN;,00;;;;
D.250000168;FINECORSA PER CERNIERA PIZZATO;;,00;;;;
D.250000169;STAFFA FISSAGGIO DISPLAY CELLE CARICO MODELLO SV01;;,00;;;;
D.250000170;SONDA AD IMMERSIONE CON POZZETTO INOX;;,00;;;;
D.250000171;PORTALAMPADA CON LED INTEGRATO VERDE SIEMENS 3SB34.0-1PC 70;;,00;;;;
D.250000172;INDICATORE LUMINOSO BLU SIEMENS 3SB30 01-6AA50 100HL6;;,00;;;;
D.250000173;ELEMENTO DI CONTATTO 1 N.C 3SB34 00-0C SIEMENS;;,00;;;;
D.250000174;ELEMENTO DI CONTATTO 1 N.O.3SB34 00-0B SIEMENS;;,00;;;;
D.250000175;Sonda PT100 compreso di connettore a vite da 10 metri;;,00;;;;
D.250000176;Sensore di pressione compreso di connettore a vite da 10 met;;,00;;;;
D.250000177;Regolatore HW � DC1010CL- 302 000E, Ingresso 4-20mA � Uscita;;,00;;;;
D.250000178;PORTALAMPADA CON LED INTEGRATO  BLUE 3SB34 .0-1PD SIEMENS;;,00;;;;
D.250000179;CAVO+CONN.SAC.4P-10-PUR/M12FS 1683002;;,00;;;;
D.250000180;CAVO+CONN.SAC.5P-10-PUR/M12FS SH 1500758;;,00;;;;
D.250000181;RIPETITORE H60 220V AC CIFRE INOX COD.VRP0606XZ FORNITORE N.;;,00;;;;
D.250000182;CONVERTITORE PT100�.4�.20mA COD.8432150000 WEIDMULLER;ANN;,00;;;;
D.250000183;TRASDUTTORE ECOTRANS LF01 JUMO;;,00;;;;
D.250000184;*ANN.E SOST. DA D.250000186 24VAC/DC 3TK2823-1CB30 SIEMENS;ANN;,00;;;;
D.250000185;*ANN.E SOST.DA E86371459711 TEMP.230VAC H3DK-M2 24/240;ANN;,00;;;;
D.250000186;CENTRALINA DI SICUREZZA 24 VAC/DC CODICE 3SK1111-1AB30;;,00;;;;
D.250000187;PT-100� 4-20  ACT20M-RTI-AO-S 1375510000 WEIDMULLER;;,00;;;;
D.250000188;Pressacavo in Ottone Nik M M20x1,5  atex;;,00;;;;
D.250000189;Pressacavo in Ottone Nik M M25x1,5 atex;;,00;;;;
D.250000190;BARRIERA DI SICUREZZA INTRINSECA COD.KFD2-SCD2  PEPPERL+FUCH;;,00;;;;
D.250000191;RELE 2S+LED 24VDC 230V 5A G2R-2-SND 24VDC OMRON;ANR;,00;;;;
D.250000192;ZOCCOLO PER G2R-2 2S P2RF-08-E OMRON;ANR;,00;;;;
D.250000193;INVERTER TRIFASE 400V ACSM1-04AS-031A-4 +DCL-01A+CS-CP-U ABB;;,00;;ABB S.P.A;ACSM1-04AS-031A-4+N2;ACSM1-04AS-031A-4
D.250000194;RIDUZIONE MASCHIO-FEMMINA M20X1,5-M16X1,5 ATEX;;,00;;;RE;RE#01M00MONFS
D.250000195;PRESSACAVO IN OTTONE NICHELATO M16X1,5 ATEX;;,00;;;PNA;PNA#000MONE0FS
D.250000196;TAPPO M20X1,5 IP66 ATEX BARTEC FEAM;;,00;;;PLG#01MONBFS;PLG#01MONBFS
D.250000197;RIDUZIONE MASCHIO-FEMMINA M25X1,5-M20X1,5 ATEX;;,00;;;RE;RE#02M01MONFS
D.250000198;TERMOSTATO ATEX A RIARMO AUTOMATICO CODICE T1X-H251S-A-EX;;,00;;;;
D.250000202;MICRO PER ATTACCO A BAIONETTA SCHMERSAL EX AZ3350 12ZUEK 3D;;,00;;;;
D.250000203;ATTACCO A BAIONETTA SCHMERSAL EX AZ3350-B5;;,00;;;;
D.250000204;MICRO PER ATTACCO A BAIONETTA  EX-AZ 16-12ZVK-3D SCHMERSAL;;,00;;;;
D.250000205;ATTACCO A BAIONETTA BETAETIGER AZ 15/16-B1 KPL SCHMERSAL;;,00;;;;
D.250000206;ALIMENTATORE ADEL SYSTEM DW 247 HP;ANR;,00;;;;
D.250000207;SEZIONATORE P1-32/V/SCB POT3P MOELLER;ANR;,00;;;;
D.250000208;PULS.PIATTO VERDE 22MM 3SU1051-0AB40-0AA0 SIEMENS;ANR;,00;;;;
D.250000209;PULS.PIATTO ROSSO 22MM 3SU1051-0AB20-0AA0 SIEMENS;ANR;,00;;;;
D.250000210;SUPPORTO PER 3 MODULI  PLASTICA 3SU1500-0AA10-0AA0 SIEMENS;ANR;,00;;;;
D.250000211;ANNULARE E SOSTITUIRE DA D.2500002222;ANN;,00;;;;
D.250000212;PULS.SPORGENTE ROSSO 22MM 3SU1000-0BB20-0AA0 SIEMENS;ANR;,00;;;;
D.250000213;PULS.PIATTO ROSSO 22MM 3SU1001-0AB20-0AA0 SIEMENS;ANR;,00;;;;
D.250000214;RELE'INTERF.PLC-RSC-24DC/21 2SC+ZOCCOLO COD.2967060  PHOENIX;;,00;;;;
D.250000215;SCHEDA AZIONAMENTO REG203/FMD POTENZA 380VDC R.E ELETTRONICA;;,00;;;;
D.250000216;PC industriale PPC-L158T 15� completo di adattatori USB/PS2;ANR;,00;;;;
D.250000217;TESTA SELETTORE D.22 3SU1052-2BF40-0AA0 SIEMENS;;,00;;SIEMENS S.P.A;3SU1052-2BF40-0AA0;3SU1052-2BF40-0AA0
D.250000218;SENSORE AD ULTRASUONI UC500-30GM70-2E2R2-V15 PEPPER-FUCHS;;,00;;;;
D.250000219;SENSORE DI PRESSIONE TK-E-4-E-B03U-H-2V1 30X000X00P GEFRAN;ANR;,00;;GEFRAN S.P.A.;TK-E-4-E-B03U-H-2V1;F030589
D.250000220;SELETTORE ILLUMINABULE �22 PLASTICA NERO;;,00;;;;3SU1002-2BL10-0AA0
D.250000221;SUPPORTO PER 3 MODULI PLASTICA 3SU1500-0AA10-0AA0;;,00;;;;3SU1500-0AA10-0AA0
D.250000222;MOD.DI CONTATTO 2 CONTATTI,2NO,MORS.VITE 3SU1400-1AA10-1DA0;;,00;;;;3SU1400-1AA10-1DA0
D.250000223;MAGNETOTERMICO GV2-ME16 TELEMECANIQUE/SCHNEIDER;;,00;;;;
D.250000224;MAGNETOTERMICO GV2-ME21  TELEMECANIQUE/SCHNEIDER;;,00;;;;
D.250000225;CONTATTI LATERALI GVAN11 NC-NO TELEMECANIQUE/SCHNEIDER;;,00;;;;
D.250000226;Pulsante led verde  Siemens 3SU1001-0AB40-0AA0;;,00;;SIEMENS S.P.A;3SU1001-0AB40-0AA0;3SU1001-0AB40-0AA0
D.250000227;Led arancione Siemens 3SU1001-6AA30-0AA0;;,00;;SIEMENS S.P.A;3SU1001-6AA30-0AA0;3SU1001-6AA30-0AA0
D.250000228;modulo LED con LED integrato AC/DC 24 V, giallo, morsetti a;;,00;;;;3SU1401-1BB30-1AA0
D.250000229;Pulsante led verde Siemens 3SU1001-0AB40-0AA0;;,00;;SIEMENS S.P.A;SU1001-0AB40-0AA0;SU1001-0AB40-0AA0
D.250000230;SELET.ILLUMINABILE �22 PLASTICA VERDE 3SU1002-2BL40-0AA0;;,00;;SIEMENS S.P.A;;3SU1002-2BL40-0AA0
D.250000231;SELET.ILLUMINABILE �22 MET.LUCIDO NERO 3SU1052-2BC10-0AA0;;,00;;SIEMENS S.P.A;;3SU1052-2BC10-0AA0
D.250000232;ADATTATORE PBD00x-SELCO;;,00;;;;
D.250000233;CONN.CON RADDRIZZATORE+LED ROSSO+VARISTORE 24V;;,00;;;;S142 09 N R6 21
D.250000234;Regolatore per termoregolatore Frigosystem TRW98-48/F0(200/2;;,00;;;;
D.250000235;Convertitore per termoregolatore Frigosystem TRW98-48/F0(200;;,00;;;;
D.250000236;LAMPADA TUBOLARE E14 25w 24v COD.4104020 WIMEX;;,00;;;4104020;4104020
D.250000237;INT. SALVAMOTORE 3X25A 2.5-4 A 3P PKZM0 � 4 KLOCKNER;;,00;;;PKZM0.4;PKZM0.4
D.250000238;ANNULATO E SISTITUITO DA D79131200650;ANN;,00;;;;
D.250000250;SINAMICS G120C potenza nominale 11,0kW   6SL3210-1KE22-6AF1;;,00;;SIEMENS S.P.A;6SL3210-1KE22-6AF1;6SL3210-1KE22-6AF1
D.250000251;SINAMICS G120C potenza nominale 3,0kW   6SL3210-1KE17-5AF1;;,00;;SIEMENS S.P.A;6SL3210-1KE17-5AF1;6SL3210-1KE17-5AF1
D.250000252;SIMATIC ET 200SP HA 482 mm (circa 19 pollici) con vite;;,00;;SIEMENS S.P.A;6DL1193-6MC00-0AA0;6DL1193-6MC00-0AA0
D.250000253;SIMATIC ET 200SP HA, Modulo di ingressi analogici, AI 16XTC;;,00;;SIEMENS S.P.A;6DL1134-6JH00-0PH1;6DL1134-6JH00-0PH1
D.250000254;SIMATIC ET 200SP HA, Modulo di uscite analogiche, AQ 8XI;;,00;;SIEMENS S.P.A;6DL1135-6TF00-0PH1;6DL1135-6TF00-0PH1
D.250000255;SIMATIC ET 200SP HA,Modulo di ingressi digitali, DI 16X24VDC;;,00;;SIEMENS S.P.A;6DL1131-6BH00-0PH1;6DL1131-6BH00-0PH1
D.250000256;SIMATIC ET 200SP HA, Modulo di uscite digitali, DQ 16X24VDC;;,00;;SIEMENS S.P.A;6DL1132-6BH00-0PH1;6DL1132-6BH00-0PH1
D.250000257;SIMATIC ET 200SP HA, modulo 16XDC24V HA;;,00;;SIEMENS S.P.A;6DL1136-6BA00-0PH1;6DL1136-6BA00-0PH1
D.250000258;SIMATIC ET 200SP HA, modulo di uscite digitali, di sicurezza;;,00;;SIEMENS S.P.A;6DL1136-6DA00-0PH1;6DL1136-6DA00-0PH1
D.250000259;SIMATIC ET 200SP HA, Modulo ET 200SP HA;;,00;;;6DL1193-6GC00-0NN0;6DL1193-6GC00-0NN0
D.250000260;SIMATIC ET 200SP HA, Morsettiera, Tipo H1, 32 morsetti;;,00;;SIEMENS S.P.A;6DL1193-6TP00-0BH1;6DL1193-6TP00-0BH1
D.250000261;SIMATIC ET 200SP HA, Morsettiera, Tipo H1,32 morsetti;;,00;;SIEMENS S.P.A;6DL1193-6TP00-0DH1;6DL1193-6TP00-0DH1
D.250000262;SIMATIC ET 200SP HA, ricambio Modulo server per ET 200SP HA;;,00;;SIEMENS S.P.A;6DL1193-6PA00-0AA0;6DL1193-6PA00-0AA0
D.250000263;SIMATIC ET 200SP HA, 5 coperture TM, 22,5 mm;;,00;;SIEMENS S.P.A;6DL1133-6CV22-0AM0;6DL1133-6CV22-0AM0
D.250000264;SIMATIC ET 200SP HA,modulo d�interfaccia PROFINET IM155-6 PN;;,00;;SIEMENS S.P.A;6DL1155-6AU00-0PM0;6DL1155-6AU00-0PM0
D.250000265;SIMATIC ET 200SP HA, adattatore di bus BA 2xRJ45, 2 RJ;;,00;;SIEMENS S.P.A;6DL1193-6AR00-0AA0;6DL1193-6AR00-0AA0
D.250000266;SIMATIC ET 200SP HA,  Modulo portante in portante singola;;,00;;SIEMENS S.P.A;6DL1193-6BH00-0SM0;6DL1193-6BH00-0SM0
D.250000267;SCALANCE  XC206-2   6GK5206-2BB00-2AC2;;,00;;SIEMENS S.P.A;SCALANCE  XC206-2;6GK5206-2BB00-2
D.250000268;SIMATIC ET 200SP HA, Modulo di ingressi analogici AI 16XI 2;;,00;;SIEMENS S.P.A;6DL1134-6TH00-0PH1;6DL1134-6TH00-0PH1
D.250000269;SIMATIC ET 200SP HA, Modulo portante 2 volte support;;,00;;SIEMENS S.P.A;6DL1193-6GA00-0NN0;6DL1193-6GA00-0NN0
D.250000270;CONTATTO SELF MONITORING 3SU1400-1AA10-1HA0 SIEMENS;;,00;;;;
D.250000271;Trasmettitore di peso IND360 profinet mettler toledo;;,00;;;IND360;SCK T36000D100000I0030
D.250000280;CAVO DI POT.5 FILI,CONNET.FEM.M12 A 5P TIPO-L NO SCHERM.10M;;,00;;PHOENIX CONTACT Spa;SAC-5P-10.0-280/M12F;1414823
D.250000281;Sen.Optima Plus Tecnologia: infrarosso Range: 0�100% atex;;,00;;;;
D.250000282;Trasmettitore per sensore Optima Plus Con Display atex;;,00;;;;
D.250000283;Isolatore galvanico a sicurezza intrinseca atex;;,00;;;;
D.250100118;CUSCINETT0 6014;;,00;;;;
D.2501103001;*ANN.E SOST.DA  C26R080720;ANN;,00;;;;
D.2501103005;*SOSTITUITO DA C26RPE1190 CINGHIA DENTATA S.1190 RPP14M-H40;ANN;,00;;;;
D.2501402012;"CATENA DOPPIA 3/4"" 52 MAGLIE + GIUNTO";;,00;;;;
D.2501702002;GOLFARE M12 FEMMINA - AISI 316 DIN 582;;,00;;;;
D.2510101530;RID.MOTOVARIO NMRV040 I:30 P71-B5-FORO STD ALB.LENTO CAVO�18;;,00;;;;
D.2510101533;RID.NMRV 040 1:30 PAM63 B5;;,00;;;;
D.2510101810;*ANN.SOST.DA C85001N44410;ANN;,00;;;;
