Articolo;Descrizione lunga;Segn.;Costo Unitario;Proc. Speciale;Produttore;Produttore Modello;Produttore Codice
E09040910000;LICENZA HALVB0-IR00011/DON-USB-PORT-1 IMAGE S;;1 450,00;;IMAGE S SRL;DON-USB-PORT-1;HALVB0-IR00011/DON-USB-PORT-1
E09040910001;LICENZA HALVB0-IR00011 RUNTIME BUNDLE HALCON 11 IMAGE S;;1 285,00;;IMAGE S SRL;HALVB0-IR00011;HALVB0-IR00011
E09061900010;MODEM PSI-DATA/BASIC-MODEM/RS232 23 13 067 PHOENIX;;204,35;;PHOENIX CONTACT Spa;PSI-DATA/BASIC-MODEM;2313067
E09077000010;ALIM.DI CORRENTE 24VDC PER RICAMBIO HMI IPC677B/C SIEMENS;;356,00;;SIEMENS S.P.A;A5E30947477;A5E30947477
E09077000400;"HARD DISK 3.5"" SATA 500GB PER RICAMBI PC677B/C SIEMENS";;126,00;;SIEMENS S.P.A;A5E36750229;A5E36750229
E09077900000;ACCES.6AG4021-0AA20-0AA5 PER IPC127E SU GUIDA DIN SIEMENS;;9,33;;SIEMENS S.P.A;6AG4021-0AA20-0AA5;6AG4021-0AA20-0AA5
E09077900001;KIT PER MONTAGGIO A LIBRO PER IPC227G SIEMENS;;,00;;;;
E09093900010;MODEM TELEFONICO TD-32B 24V DC WESTERMO;ANN;403,00;;;;
E09093900011;MODEM 4 PORTE ETHERNET+PORTA STAMP.COD.MISCO T0837F;ANN;295,40;;;;
E09093900012;ROUTER SMC BARRICADE 8 PORTE MISCO T0838F;ANN;226,68;;;;
E09177030111;BOX PC620 6ES7647-5FE00-0AX0 SIEMENS;ANN;1 757,75;;SIEMENS S.P.A;;6ES7647-5FE00-0AX0
E0921I105220;PC LATITUDE E5500 INTEL CORE 2 DUO P8700-INGLESE DELL;ANN;1 222,00;;;;
E0921I105221;PC LATITUDE E5500 INTEL CORE 2 DUO P8700-FRANCESE DELL;ANN;575,00;;;;
E0921I105222;PC LATITUDE E6500 INTEL CORE 2 DUO P8700 DELL;ANN;924,00;;;;
E0921I105223;PC LATITUDE E5500 INTEL CELERON T1600 DELL;ANN;572,00;;;;
E0921I105224;PC LATITUDE E5510 STANDARD BASE WINDOWS 7 32BIT FRANC.DELL;ANN;578,03;;;;
E0921I105225;PC LATITUDE E5510 STANDARD BASE WINDOWS 7 32BIT ITAL. DELL;ANN;734,30;;;;
E0921I105226;PC LATITUDE E6510 INTEL CORE I5-580M DELL;ANN;1 267,47;;;;
E0921I105227;PC LATITUDE E5520 WINDOWS 7 PROFESSIONAL INGLESE DELL;ANN;722,61;;;;
E0921I105228;PC LATITUDE E5520 WINDOWS 7 PROFESSIONAL PORTOGHESE DELL;ANN;610,00;;;;
E0921I105229;*SOST.DA E0921I135221;ANN;1 041,76;;;;
E0921I105230;PC LATITUDE E5520 WINDOWS 7 PROFESSIONAL SPAGNOLO DELL;ANN;619,00;;;;
E0921I115221;PC LATITUDE E5530 WINDOWS 7 PROFESSIONAL INGLESE DELL;ANN;669,24;;;;
E0921I115222;PC LATITUDE E5530 WINDOWS 7 PROFESSIONAL FRANCESE DELL;ANN;797,32;;;;
E0921I115223;PC LATITUDE E5530 WINDOWS 7 PROFESSIONAL ITALIANO DELL;ANN;739,86;;;;
E0921I115224;PC LATITUDE E5530 WINDOWS 7 PROFESSIONAL GRECO DELL;ANN;658,82;;;;
E0921I115225;PC LATITUDE E5540 INGLESE DELL;ANN;843,15;;;;
E0921I115226;PC LATITUDE 14 5000 SERIES DELL;ANN;1 504,42;;;;
E0921I120221;PC LATITUDE E5550 WINDOWS 7 PROFESSIONAL INGLESE DELL;ANN;804,63;;;;
E0921I125221;PC LATITUDE E5440 145000 N-SERIES BASE(EX.E5530 NSERIES)DELL;ANN;761,00;;;;
E0921I125222;PC LATITUDE E5440 WINDOWS7 PROFESSIONAL (32BIT) INGLESE DELL;ANN;729,75;;;;
E0921I131610;"PC PORTATILE CPU I7, HARD DISK 1TB, 15.6"", 24VDC DELL";;1 360,00;;;DELL LATITUDE 5531 X;DELL LATITUDE 5531 XCTO BASE
E0921I131611;"PC PORTATILE CPU I7,HARD DISK 1TB,15.6"",24VDC(INGLESE) DELL";;1 473,00;;;5531 XCTO BASE;DELL LATITUDE 5531 XCTO BASE
E0921I135221;PC LATITUDE E5440 WINDOWS 7 PROFESSIONAL (32BIT) FRANCESE;ANN;658,32;;;;
E0921I135222;PC LATTOP LATITUDE E5570 TASTIERA INGLESE QWERTY DELL;ANN;850,00;;;;
E0921I135223;PC LATITUDE 5580 CTO 1 PRO LITE 16IN BUSINESS CASE DELL;;857,00;;DELL;PC LATITUDE 5580;PC LATITUDE 5580
E09230115021;COMPUTER MOD.G1 HP 250;ANN;387,57;;;;
E09230910001;CODICE LIBERO;;,00;;;;
E0928L011130;COMPUTER PORTATILE 1800/800 toshiba;ANN;1 131,04;;;;
E0928L011131;PC DELL;ANN;985,00;;;;
E09300Z080010;CODICE ERRATO;ANN;,00;;;;
E0930D022130;PERSONAL COMPUTER 6170-EBCD1Z1 EBZZ ALLEN BRADLEY;ANN;8 322,70;;;;
E0930D032020;PC VERSA VIEW 1200P TOUCH S 6181P-12TP2KH ALLEN BRADLEY;ANN;3 355,40;;;;
E0930D032021;PC VERSA VIEW 1200P TOUCH S6181P-12TP2KH  Vers.B-ALLEN BRADL;ANN;2 936,64;;ROCKWELL AUTOMATION SRL;6181P-12TP2KH;6181P-12TP2KH
E0930D032130;COMPUTER 6180 FLGEFLAZIZZ TFT 32M RAM PENTIUM 7 SLOT  A.B.;ANN;5 445,52;;;;
E0930D032210;"*FUORI PRODUZIONE PC TOUCH 12""  6181P-12TPXPDC 24 VDC A+B";ANN;2 560,00;;;;
E0930D032220;FP*PC VERSA VIEW 1200P TOUCH  6181P-12TPX PH -ALLEN BRADLEY;ANN;2 946,00;;;;
E0930D032221;PC 1200P 6181P-12TPXP 100-240VAC ROCKWELL;ANN;2 280,00;;;;
E0930D032222;PC VERSAVIEW 1200P 6181P-12TSXP CON WINDOWS XP;ANN;1 624,00;;;;
E0930D042210;PC 6181P-15B3SW71DC ADVANCED 16:9 SOLID STATE 24VDC A+B;ESA;3 935,19;;ALLEN BRADLEY;6181P-15B3SW71DC ADV;6181P-15B3SW71DC ADVANCED
E0930D08221;*SOST.DA E0930D082210 PC 6181P�12 A2HW71DC ROCKWELL A.;ANN;2 504,00;;;;
E0930D082210;*SOST.DA E0930D082211 PC 6181P�12 A2HW71DC ROCKWELL;ANN;2 403,12;;;;
E0930D082211;PC 6181P � 12 A2MW71DC ROCKWEL;ANN;2 473,55;;;;
E0930D112210;PC 6181P-12A2MW71DC CPU I3,HARD DISK SSD 256GB,ROCWELL;ESA;2 474,93;;ROCKWELL AUTOMATION SRL;6181P-12A2MW71DC;6181P�12A2MW71DC
E0930D112310;PC PANEL 6300P-156ACPMFDNB-3CBBW19NNNBNN-NN1S ROCKWELL;;2 177,91;;ROCKWELL AUTOMATION SRL;PC PANEL 6300P;6300P-156ACPMFDNB-
E0930D132310;PC PANEL 6300P-156ACPMFDNB-7DDBW19NNNDNN-NN1S ROCKWELL;ESA;3 591,11;;ROCKWELL AUTOMATION SRL;;
E0930D132311;PC PANEL 6300P-156ACPMFDNB-7CBBNNNNNNBNN-NN1S ROCKWELL;;2 572,31;;ROCKWELL AUTOMATION SRL;PC PANEL 6300P;6300P-156ACPMFDNB-7CBBNNNNNNBNN-NN
E0930D900000;ESPANSIONE DI MEMORIA 6189V-DDR512 ALLEN-BRADLEY;ANN;206,72;;ALLEN BRADLEY;6189V-DDR512;6189V-DDR512
E0930G010120;COMPUTERS IPC6806/386 ADVANTECH;ANN;,00;;ADVANTECH;IPC6806/386;IPC6806/386
E0930G080120;PC COMPLETO COD.109032-IPC6806 ADVANTEC;ANR;985,00;;;;
E0930G130050;PC PER SISTEMA DI VISIONE 24VDC ADVANTECH;;1 740,00;;ADVANTECH;MIC-770H-20A1 I7-107;96-MIC770H.MARCH.02
E0930G900000;MODULO ESPANSIONE PER PC SISTEMA DI VISIONE 24VDC;;450,00;;ADVANTECH;MIC-75G20;1200-MIC-75G20-00A2
E0930G900001;SCHEDA VIDEO PER PC SISTEMA VISIONE;;1 090,00;;NVIDIA;PNY GPU RTX A4000;93-VCNRTXA4000-SB
E0930G900002;2-SLOT MODULO ESPANSIONE ADVANTECH;;115,00;;;MIC-75M20-00C1;1200-MIC-75M20-00C1
E0930Z080010;KIT COMPLETO PC MOD.C69930-0050 BECKHOFF;ANN;,00;;;;
E0930Z080011;*ANN.E SOST.DA E0930Z080012 C6930-1164-0050/STANDARD BECKHOF;ANN;2 700,37;;BECKHOFF AUTOMATION SRL;C6930-1164-0050;C6930-1164-0050
E0930Z080012;PC PER CONTROLLO XTS C6032-0070 STANDARD  BECKHOFF;;2 645,23;;BECKHOFF AUTOMATION SRL;C6032-0070;C6032-0070 / 000157520
E0931H022320;PERSONAL COMPUTER PCB 71 H 000 MG1 486/66MHZ 220V TFT DETA;ANN;4 957,99;;DEL001;PCB71H000MG1;PCB71H000MG1
E0931H025220;PERSONAL COMPUTER DYNAPRO 2160-BU-DCSR4 DETA AUTOMAZIONI;ANN;4 415,71;;DEL001;DYNAPRO 2160-BU-DCSR;DYNAPRO 2160-BU-DCSR4
E0931H025320;PERSONAL COMPUTER PCB 21 H 000 MG2 486/66MHZ 220V DSP DETA;ANN;3 060,01;;;;
E0931H032420;"PERSONAL COMPUTER WLS72HF20MG6 PENTIUM 133MHZ TFT 10,5"" ISI";ANN;2 256,92;;;;
E0934G025110;PERSONAL COMPUTERS PC BRAIM/E 08.7620.2123 IPS;ANN;,00;;IPS;BRAIM/E;8.7620.2123
E0935N032120;*VEDI E0935N032121 PC P.EFP340-CD01NA01-BNGD0A-0;ANN;2 292,00;;;;
E0935N032121;VEDI E0935N032122 PC EFP340-TD032A01-FBEPA0A-0 (CPU ATOM);ANN;1 350,00;;SIEMENS S.P.A;;EFP340-TD032A01-FBEPA0A-0
E0935N032122;PC PANEL EFP340-9D039101-FBEP0A-0 ATOM/ISA FULL SIZE;;1 430,00;;PANEL SRL;EFP340-9D039101-FBEP;EFP340-9D039101-FBEP0A-0 ATOM/ISA
E0935N032130;PC PANEL EBP412C CLONE PC677C;;1 800,00;;;;
E09377022130;*FUORI PRODUZIONE SICOMP32F 486/33MHZ TFT=3,5 /MDD 120M;ANN;6 460,02;;;;
E09377030110;*FUORI PRODUZIONE BOX PC820 6ES7647-3DC00-0AX0 SIEMENS;ANN;,00;;;;
E09377032010;PC 670 TOUCH SCREEN 6AV7722-1AC10-0AA0  ex6AV7612-0AB12-0CF0;ANN;2 200,91;;SIEMENS S.P.A;;6AV7612-1AB12-0CF0
E09377032011;PC 670 TOUCH SCREEN CELERON 6AV7722-1AC10-0AA0 SIEMENS;ANN;2 200,16;;SIEMENS S.P.A;;6AV7722-1AC10-0AA0
E09377032012;PC 670 TOUCH SCREEN CELERON 6AV7722-1AA40-0AA0 24V - SIEMENS;ANN;2 863,67;;SIEMENS S.P.A;;6AV7722-1AA40-0AA0
E09377032120;PERSONAL COMPUTER FI 15 PENTIUM TFT SIEMENS;ANN;2 066,09;;;;
E09377032121;PC SIMATIC PC 670 TASTIERA 6AV7611-0AA13-0CF0 SIEMENS;ANN;2 050,31;;SIEMENS S.P.A;;6AV7611-0AA13-0CF0
E09377032210;*VEDI E09377082210 PC677 T.S.PENTIUM 6AV7800-0AA00-2AA0;ANN;2 200,39;;SIEMENS S.P.A;;*6AV7800-0AA00-2AA0
E09377032240;*VEDI E09377082240 PC677 T.S.AC110/230 6AV7800-0B;ANN;1 100,13;;SIEMENS S.P.A;;6AV7800-0BA00-2AA0
E09377042210;SIMATIC IPC677D 6AV7260-3GM42-0XX6 XEON SIEMENS;ESA;3 200,41;;SIEMENS S.P.A;SIMATIC IPC677D;6AV7260-3GM42-0XX6
E09377082210;"PC677B *VEDI  E09377082211 SIMATIC HMI PC677C 12"" SIEMENS";ANN;2 300,00;;SIEMENS S.P.A;;6AV7870-0AA20-1AA0
E09377082211;"SIMATIC HMI IPC677C 12"" TOUCH  6AV7890-0AA00-1AA0 24Vdc";ESA;2 873,06;;SIEMENS S.P.A;SIMATIC HMI IPC677C;6AV7420-2AA00-0MR0
E09377082240;PC677B TOUCH SCREEN CELERON 6AV7870-0BA20-1AA0  110/230VAC;ANN;2 300,00;;SIEMENS S.P.A;;6AV7870-0BA20-1AA0
E09377082241;*FUORI PRODUZ. PC677C TOUCH SCR. CELERON 220VAC-SIEMENS;ANN;2 300,00;;SIEMENS S.P.A;;6AV7890-0BA00-1AA0
E09377090010;SIMATIC IPC127E 6AG4021-0AB11-0BA0 ATOM E3940 (4C/4T)SIEMENS;;727,96;;SIEMENS S.P.A;SIMATIC IPC127E;6AG4021-0AB11-0BA0
E09377090011;SIMATIC IPC227G SIEMENS;;920,00;;SIEMENS S.P.A;;6ES7647-8CC22-2AA1
E09377090012;SIMATIC IPC227G (WINDOWS)SIEMENS;;1 100,00;;SIEMENS S.P.A;SIMATIC IPC227G;6ES7647-8CC22-2AB1
E09377092010;PC SIMATIC IPC277G (NANOPANEL PC) + DISPLAY SIEMENS;;1 560,00;;;;
E09377092011;SIMATIC IPC277G (LICENZA WINDOWS) SIEMENS;;,00;;SIEMENS S.P.A;6AV7886-0DB21-2AB0;6AV7886-0DB21-2AB0
E09377110010;*SOSTITUITO DA E09377130010;ANN;1 393,00;;SIEMENS S.P.A;;6AG4140-3BB10-0HA0
E09377110011;SIMATIC PC627D 6AG4131-2GM32-0XX6 SIEMENS;ANN;2 507,84;;SIEMENS S.P.A;SIMATIC PC627D;6AG4131-2GM32-0XX6
E09377110510;PC SIMATIC IPC627E (BOX PC) SIEMENS;;1 926,85;;;6AG4131-3CJ10-8AA2;6AG4131-3CJ10-8AA2
E09377112210;SIMATIC PC 677D      6AV7260-3DM21-0XX6 SIEMENS;ANN;2 500,00;;SIEMENS S.P.A;;6AV7260-3DM21-0XX6
E09377112211;*SOST.DA E09377112212 SIMATIC PC 677D NEW6AV7260-3DM22-0XX6;ANN;2 587,00;;SIEMENS S.P.A;;6AV7260-3DM22-0XX6
E09377112212;SIMATIC PC IPC677D (PANELPC)6AV7260-3DM42-0XX6 PROC.I3 SIEME;ESA;2 725,72;;SIEMENS S.P.A;SIMATIC IPC677D;6AV7260-3DM42-0XX6
E09377112213;"SIMATIC IPC 477E MULTI-TOUCH 15"" 6AV7241-7JB40-0FA0 SIEMENS";;2 826,66;;SIEMENS S.P.A;SIMATIC IPC 477E mul;6AV7241-7JB40-0FA0
E0937711222;CODICE ERRATO;ANN;,00;;;;
E09377112220;CODICE ERRATO;ANN;,00;;;;
E09377130010;SIMATIC IPC427D  6AG4140-6BD20-0PA0 (EX 6AG4140-6BD20-0HA0);ANR;1 757,10;;SIEMENS S.P.A;;6AG4140-6BD20-0PA0
E09377130710;PC SIMATIC IPC627E (BOX PC), I7 SIEMENS;;2 266,95;;SIEMENS S.P.A;6AG4131-3GJ10-8AA2;6AG4131-3GJ10-8AA2
E0937714000;CODICE ERRATO..MANCA UNA CIFRA;ANN;,00;;SIEMENS S.P.A;;
E09377140000;SIMATIC IPC427E (MICROBOX PC) 6AG4141-5BB50-0FA0. SIEMENS;;1 814,68;;SIEMENS S.P.A;SIMATIC IPC427E MICR;6AG4141-5BB50-0FA0
E09377900000;SIMATIC WINCC AUDIT COMFORT/MOBILE 6AV2107-0RP00-0BB0 SIEMEN;;384,04;;SIEMENS S.P.A;SIMATIC WinCC;6AV2107-0RP00-0BB0
